OD,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
1.6,1.0,1.6020238399505485e-05,1.8626451498814783e-10,1.602023840058832e-05,0.0044193883459096,0.004408104050745028
3.175,0.9999998807907104,2.9269592083824938e-06,1.3733371742315746e-11,2.9269592084147123e-06,0.004438821183517411,0.004421487529814941
6.35,1.0,-0.00023276050895191212,-5.226056031611311e-10,0.0002327605089524988,0.023291391785439475,0.004586958022672793
12.7,0.9999999403953552,-0.0026168639182340705,-2.5416015258069797e-09,0.0026168639182353047,0.2405359859501013,0.06370177226610978
