x_off_mm,y_off_mm,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
-1.0,-1.0,1.0,0.02535008547814186,0.02535008614844483,0.03585043516448124,0.00793109424078273,0.009441886497496759
-1.0,0.0,1.0,0.025350076229516464,-5.742549546235327e-10,0.02535007622951647,0.007931646129564337,0.009550647646832422
-1.0,1.0,1.0,0.0253500861890939,-0.02535008861672254,0.0358504374125362,0.00793109814958572,0.009441883929278548
0.0,-1.0,1.0000001192092896,-2.1585944679500913e-09,0.025350070206437158,0.025350070206437248,0.007931501724871696,0.009550652819966157
0.0,0.0,0.9999999403953552,1.754961081058138e-09,-2.444076642367829e-09,3.008886676130683e-09,0.007932031385165343,0.009882114814404116
0.0,1.0,1.0,-2.8451722757297238e-09,-0.025350070109652737,0.025350070109652897,0.007931498153442414,0.009550652686773029
1.0,-1.0,1.0,-0.02535008702519237,0.025350088813082428,0.03585043814259448,0.00793109674142283,0.009441883495865945
1.0,0.0,1.0,-0.02535007476206288,-1.2983036867374446e-09,0.025350074762062913,0.007931646308453366,0.009550648796597963
1.0,1.0,1.0,-0.025350085272777982,-0.025350086057313488,0.03585043495482746,0.00793109501225493,0.009441886644958788
