D2,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
19.5,1.0,0.0005334789456810547,1.2070586306838621e-09,0.0005334789456824203,0.03562380925995979,0.03191816982278128
19.666666666666668,1.0,0.0004452920522726167,2.4412596395090563e-10,0.0004452920522726836,0.029730057310296227,0.02724584472299965
19.833333333333332,1.0,0.00035710216497193345,-1.3513925978353935e-09,0.0003571021649744905,0.023857406364363915,0.022150408604896612
20.0,1.0,0.0002689111749328626,-5.543651761532003e-10,0.00026891117493343405,0.01803034286579955,0.01619821082625713
20.166666666666668,0.9999998807907104,0.00018072713987818788,-1.7952631747147993e-09,0.00018072713988710455,0.012288617509980766,0.010053732389088788
20.333333333333332,1.0,9.253514144802466e-05,1.3824319483211542e-10,9.253514144812793e-05,0.007002358865789012,0.004485326994821331
20.5,1.0,4.345706656749826e-06,-8.628376234419151e-10,4.345706742407789e-06,0.004425269830004703,0.004416346183362164
20.666666666666668,1.0,-8.383739671872234e-05,-2.0860125843545044e-10,8.383739671898186e-05,0.007334406812966402,0.004479091552404658
20.833333333333332,1.0,-0.00017202666352389429,-6.033562983325643e-10,0.00017202666352495239,0.012685232554490855,0.00982907360023669
21.0,1.0000001192092896,-0.0002602185909939896,9.92673558446452e-10,0.000260218590995883,0.018420276475067877,0.015679353511619285
21.166666666666668,1.0,-0.0003484054005760571,-7.876865825821335e-10,0.0003484054005769475,0.024253499561734736,0.018521346881963784
21.333333333333332,1.0,-0.00043659412253162916,-1.0159340067068725e-10,0.000436594122531641,0.030126901760376898,0.02363071579692567
21.5,1.0,-0.0005247838988879042,-1.3940763210718656e-09,0.0005247838988897559,0.036021233055688516,0.029148972194007465
