N,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
50,1.0,-0.00044989242571773485,6.850473255262809e-09,0.0004498924257698906,0.01635963268510988,0.009456384775801767
100,1.0,-0.00025757296784831903,1.523380888093979e-08,0.0002575729682988107,0.015114877495569634,0.009638111635488967
400,1.0,-7.496186916000668e-05,7.883858188748647e-09,7.496186957458559e-05,0.013754720284127997,0.009811033763536528
1600,1.0,-2.5076972863757614e-05,-2.1159706876713886e-09,2.507697295302939e-05,0.013132221730840056,0.009858331442906241
3200,1.0000001192092896,-1.4934521944385092e-05,-1.679751248463847e-10,1.4934521945329737e-05,0.012958891082038796,0.00986795073981083
6400,1.0,-9.556846367785293e-06,-3.641844161173446e-10,9.556846374724312e-06,0.012832232712227784,0.009873051845304433
