x_off_mm,sum,cx_mm,cy_mm,r_centroid_mm,rms_radius_mm,ee50_mm
-35.0,1.0,0.9032368807446998,8.080327508713746e-11,0.9032368807446998,0.027394511029028297,0.012993273660379369
-33.0,0.9999999403953552,0.8515531606491126,-2.5478046081230754e-09,0.8515531606491126,0.026798765900370034,0.01136619128156124
-31.0,1.0,0.7998819908528956,-2.0684427945445697e-09,0.7998819908528956,0.026220043843687688,0.009770236311285601
-29.0,0.9999998807907104,0.748222241529258,1.4063404562425227e-09,0.748222241529258,0.02565516669504885,0.008214847085826408
-27.0,1.0,0.6965735468302597,-1.1509207808003268e-09,0.6965735468302597,0.02511437801346645,0.006719437594400952
-25.0,1.0000001192092896,0.6449348515069934,-6.082472466797594e-10,0.6449348515069934,0.02465287457617175,0.010318208837181845
-23.0,0.9999999403953552,0.5933056792372966,-3.790187111603913e-10,0.5933056792372966,0.024238301308981896,0.009461641454227067
-21.0,1.0,0.5416850212076726,-7.387711775897556e-10,0.5416850212076726,0.023840330705222422,0.007949971048622932
-19.0,1.0,0.4900722356262094,1.9525288063532365e-10,0.4900722356262094,0.023452665646777116,0.006498008925884912
-17.0,1.0,0.43846660903134876,1.5442893185571734e-09,0.43846660903134876,0.023078765786959672,0.005148485128387311
-15.0,0.9999999403953552,0.38686733681005053,6.008065521987842e-11,0.38686733681005053,0.02278218228584919,0.00928407655746438
-13.0,1.0,0.3352736594836429,9.370609177602344e-10,0.3352736594836429,0.022551946665069232,0.0078018563989418095
-11.0,1.0,0.283684846819184,1.2372787239780147e-09,0.283684846819184,0.022342519387456242,0.006377893804837436
-9.0,0.9999998211860657,0.23210020802218428,4.585376459390715e-10,0.23210020802218428,0.022145034791862927,0.005056471762553274
-7.0,1.0,0.1805188610401718,-3.7846525908106543e-10,0.1805188610401718,0.021959912131948936,0.004963409618690857
-5.0,1.0,0.12894017137684238,-2.7615776302965483e-10,0.12894017137684238,0.02182777816612132,0.006269209590457106
-3.0,1.0,0.07736333881234005,-2.6737495771364376e-09,0.07736333881234009,0.021780933577405716,0.0063156555186282964
-1.0,1.0000001192092896,0.02578765539806891,1.128604630506966e-09,0.025787655398068935,0.021771955962009624,0.005007444889144361
1.0,1.0000001192092896,-0.025787657440469413,3.5685690132193454e-10,0.025787657440469416,0.02177195816837987,0.005007446003384999
3.0,1.0,-0.07736333788756156,-6.646232012210893e-10,0.07736333788756156,0.02178093689528725,0.006315653720869994
5.0,1.0000001192092896,-0.12894016039973358,3.4945588898555986e-10,0.12894016039973358,0.021827775198535897,0.006269219143140831
7.0,1.0,-0.18051886187638194,-4.870925884248012e-10,0.18051886187638194,0.021959917300785503,0.004963409037420713
9.0,1.0,-0.23210017674742608,1.4408449544134673e-09,0.23210017674742608,0.0221450412348442,0.005056447782639497
11.0,0.9999999403953552,-0.2836848338044102,-2.0821784202267186e-09,0.2836848338044102,0.022342518731487314,0.006377882873358639
13.0,1.0,-0.3352736395413082,-1.014662842625945e-09,0.3352736395413082,0.02255194863234643,0.0078018381573318075
15.0,1.0,-0.3868673278742023,5.951477532650403e-10,0.3868673278742023,0.02278218089410112,0.009284067962934175
17.0,0.9999998211860657,-0.43846661308149676,-9.37629874827372e-10,0.43846661308149676,0.023078775341409435,0.0051484879788985536
19.0,0.9999999403953552,-0.4900722275387282,-6.34892709673497e-10,0.4900722275387282,0.02345266319276948,0.006498002046484967
21.0,1.0000001192092896,-0.5416849507554827,3.9309493206429593e-10,0.5416849507554827,0.023840328118412798,0.00794990613179963
23.0,0.9999998807907104,-0.5933056572717054,9.077841923899244e-10,0.5933056572717054,0.024238299493884036,0.009461620895930906
25.0,1.0,-0.644934908694367,-7.304493008856588e-10,0.644934908694367,0.02465287193193128,0.010318232613091075
27.0,0.9999999403953552,-0.6965735158220236,-1.6372806308064189e-09,0.6965735158220236,0.025114381082327962,0.0067194103698071436
29.0,0.9999998807907104,-0.7482222875528951,-1.4513910025109953e-09,0.7482222875528951,0.025655174193774548,0.008214889666487884
31.0,1.0,-0.7998819141011932,-2.642207874612222e-09,0.7998819141011932,0.0262200392251221,0.009770163775018112
33.0,1.0000001192092896,-0.8515531271548118,1.4599391955833107e-09,0.8515531271548118,0.02679876893187066,0.011366159377164991
35.0,0.9999998807907104,-0.9032368610117834,1.168129909737662e-09,0.9032368610117834,0.027394520398897792,0.012993254245173934
